Task_Name,Preselect,order,icon8,Google Icon,Section,Template_Name,Template_URL,Prereqs,Description
Goal Statement,Yes,1,define location,flare,Essential: Planning and Buy-In,Goal_Statement,http://drive.google.com/open?id=1ZvpMCX3UXAJ7uFRzja9qImtw117nT7rtx9FJfEadCe4,,"Specific, outcome-based goals are powerful. They help a project move ahead efficiently and help garner both internal and external support. What will your jurisdiction, and the people in it, gain from the project?"
Project Infrastructure,Yes,2,tram 2,wb incandescent,Essential: Planning and Buy-In,Infrastructure,http://drive.google.com/open?id=1YEJrNvFIjPGLLmZ197SQbsXvNRx1ItjJIGUG9JIV0GI,,"Basic infrastructure supports efficient use of resources. Documentation allows others (or you, at a future date) to benefit from the work you do now. Reminders help keep the project on track in the face of other claims on your time."
Working Group,Yes,3,conference call,group,Essential: Planning and Buy-In,Working_Group,http://drive.google.com/open?id=1A7iO9TX1-uyWu8dOzgJ-tU-gbFuCrXPD7rjWn8a8gjA,Goal Statement,"A good working group is key to the success of a data quality project. A small group including expertise in the collection, use and technical aspects of the data can be worth much more than the sum of its parts in all phases: planning, execution and documentation. Members of any data coordinating group, data governance group or other mechanism to address data issues across departments will be valuable members of the Working Group. Difficulty assembling a working group (including getting commitments to meet on a regular basis) can be a sign that there is not yet enough support to make the project viable. Consider this task complete after the first meeting of the Working Group."
Decision-Makers,Yes,4,moderator female,supervisor account,Essential: Planning and Buy-In,Decision_Makers,http://drive.google.com/open?id=1JCvf44_sww4qs230fEsnbMtbaF7vuIqPigki4t8P3Zo,Working Group,Who are the movers and shakers whose support might help the project succeed? Who could hinder the project? Think as broadly as possible. It is particularly helpful to find an executive champion for the project -- someone influential in upper management who can and will promote or defend the project.
Resource Assessment,Yes,5,money bag,local gas station,Essential: Planning and Buy-In,Resource_Assessment,http://drive.google.com/open?id=159amGMdUwiQEHYZFDPzOL5hhoelGhnpTUw_FoRkQivQ,Working Group,"A realistic assessment of your resources (with the help of the Working Group) will help you plan projects than can be completed, documented and touted by your department, your agency or the officials who hold the purse strings."
Effort vs. Payoff,Yes,6,sorting arrows,multiline chart,Essential: Planning and Buy-In,Effort_v_Payoff,http://drive.google.com/open?id=1Y5lul8rQCxSPkEmB5etR39uB4-5ABsuM3w_P663Ukoo,Working Group,"The Working Group may identify several potential projects. While choosing among these, consider the likely payoffs for each, and the effort and resources that will be required. Think broadly. Money is important, but there are other factors as well -- staffing, public perception, etc. Don’t ignore low-cost, medium-payoff projects, which can be good starter projects, building competence and credibility."
Final Goal Statement,Yes,7,goal,my location,Essential: Planning and Buy-In,Goal Statement,http://drive.google.com/open?id=1ZvpMCX3UXAJ7uFRzja9qImtw117nT7rtx9FJfEadCe4,"Working Group, Effort vs. Payoff","Relies on Working Group and Effort vs. Payoff. After the effort vs. payoff analysis and an assessment of resources available, a new, more focused goal statement may emerge."
Timeline and Deliverables,Yes,8,calendar,event,Essential: Planning and Buy-In,Timeline_Deliverable,http://drive.google.com/open?id=1pJjRdfhC0jqKTFLO_H6ScmF8V06LnkqMxs9YCIf3m0s,"Working Group, Final Goal Statement","Specify the deliverables -- the tangible results your project will produce, such as reports, documentation, new dataset, etc. For each deliverable, identify milestones (major drafts, final version, etc.) Even if you’re not sure, specify deliverables and timelines. You can always revise them later. Specific deliverables and timelines help keep projects from getting bogged down or out of control."
Tool Selection,Yes,9,hammer,build,Essential: Planning and Buy-In,Tool_Selection,http://drive.google.com/open?id=1M92FQ8Kbtdn5SvX9M7GaVHqfJ9-O0-GFEV7PGmevdpU,"Resource Assessment, Timeline and Deliverables","For anything beyond a basic inventory and data specification you will need software tools. These are available in various forms, including desktop packages that you can run in-house and cloud-based packages. In-house analysts may be able to build reasonable ad-hoc tools. Choosing a tool early will allow time for any necessary procurement and staff training. Find candidate tools by web searches, by asking colleagues for recommendations. “Data Profiling,” “Data Cleansing” and “Data Quality” are common keywords used to describe the tools you are looking for."
Communication Plan,Yes,10,cornet,textsms,Essential: Planning and Buy-In,Decision_Makers,http://drive.google.com/open?id=1JCvf44_sww4qs230fEsnbMtbaF7vuIqPigki4t8P3Zo,Decision Makers,"How will you make sure that key decision-makers understand (at whatever level is appropriate) the goals and needs of your project? Create schedules for keeping each decision-maker up-to-date, and set reminders in your calendar (or whatever system you use to make sure things get done)."
Data Inventory,Yes,11,barcode,business,Essential: Planning and Buy-In,Inventory,http://drive.google.com/open?id=1IfaUnSA_orrXLhDX1Si5GVTO3K1ZIgi-O_jSUYiioW8,"Final Goal Statement, Working Group","The scope of your data inventory -- e.g., within one department, or government-wide on a particular topic -- will depend on the goal of your project. Valuable datasets may be hiding in unexpected places, so the members of the Working Group, or even more widespread brainstorming or surveys may be helpful."
Data Capture,Yes,12,multiple inputs,work,Essential: Planning and Buy-In,Capture_Plan,http://drive.google.com/open?id=168ImXWc4wLtQX4LRuLS0grBIslGJ94SpsvihtTnGwpM,Data Inventory,Collecting the data and storing it in a form you can work with requires the cooperation of the people who control the data. Planning ahead may prevent unexpected bottlenecks.
Root Causes,Yes,13,radish,priority high,Essential: Planning and Buy-In,Root_Causes,http://drive.google.com/open?id=1gTb5Mw0CSZdEaSOH1bnni2gcdKuPGWSvZtzBnW_PTFg,,"One valuable by-product of any data project is insight into root causes of various problems. Even if addressing a particular root cause is outside the scope of the current project, the insight is worth documenting for the benefit of future data projects."
Existing Documentation,,14,books,description,Know Your Data: Preliminaries,Documentation,http://drive.google.com/open?id=1RCnPUf7fXMhr3Yh3APl5F2k0uNoY8Abf_-boRBF8LYI,,"In addition to documentation that may have been created when the current data systems were put into place, there may be documentation from previous data projects. Documentation may save you from duplicating efforts. Documentation may also give insight into root causes of issues."
